TSC Code,Sector,TSC_CCS Category,TSC_CCS Title,TSC_CCS Description,TSC_CCS Type,Latest Update Date
ACC-AUD-4006-1.1,Accountancy,Assurance,Engagement Planning,"Develop engagement plans which describe the nature, timing and extent of planned engagement procedures",tsc,2024-12-16
ACC-AUD-5006-1.1,Accountancy,Assurance,Engagement Planning,"Develop engagement plans which describe the nature, timing and extent of planned engagement procedures",tsc,2024-12-16
ACC-AUD-6006-1.1,Accountancy,Assurance,Engagement Planning,"Develop engagement plans which describe the nature, timing and extent of planned engagement procedures",tsc,2024-12-16
ACC-AUD-5007-1.1,Accountancy,Assurance,Engagement Quality Control,Set up control procedures for an assurance engagement,tsc,2024-12-16
ACC-AUD-6007-1.1,Accountancy,Assurance,Engagement Quality Control,Set up control procedures for an assurance engagement,tsc,2024-12-16
ACC-AUD-4007-1.1,Accountancy,Assurance,Engagement Quality Control,Set up control procedures for an assurance engagement,tsc,2024-12-16
ACC-AUD-4008-1.1,Accountancy,Assurance,Engagement Review,"Review evidence obtained, procedures performed, and conclusions reached for the engagement",tsc,2024-12-16
ACC-AUD-6008-1.1,Accountancy,Assurance,Engagement Review,"Review evidence obtained, procedures performed, and conclusions reached for the engagement",tsc,2024-12-16
ACC-AUD-5008-1.1,Accountancy,Assurance,Engagement Review,"Review evidence obtained, procedures performed, and conclusions reached for the engagement",tsc,2025-02-17
ACC-MAC-3001-1.1,Accountancy,Business Management,Benchmarking,Compare organisational performance to other organisations and industries,tsc,2024-12-16
ACC-MAC-5001-1.1,Accountancy,Business Management,Benchmarking,Compare organisational performance to other organisations and industries,tsc,2024-12-16
ACC-MAC-4001-1.1,Accountancy,Business Management,Benchmarking,Compare organisational performance to other organisations and industries,tsc,2024-12-16
ACC-IAD-4001-1.1,Accountancy,Business Management,Business Acumen,"Assess the impact of changes in the business organisation, environment, and industry",tsc,2024-12-16
ACC-IAD-5001-1.1,Accountancy,Business Management,Business Acumen,"Assess the impact of changes in the business organisation, environment, and industry",tsc,2024-12-16
ACC-IAD-3001-1.1,Accountancy,Business Management,Business Acumen,"Assess the impact of changes in the business organisation, environment, and industry",tsc,2024-12-16
ACC-IAD-6001-1.1,Accountancy,Business Management,Business Acumen,"Assess the impact of changes in the business organisation, environment, and industry",tsc,2024-12-16
ACC-RIM-4007-1.1,Accountancy,Business Management,Business Continuity Management,Develop business continuity strategies to manage risks in response to disruptive events,tsc,2024-12-16
ACC-RIM-5007-1.1,Accountancy,Business Management,Business Continuity Management,Develop business continuity strategies to manage risks in response to disruptive events,tsc,2024-12-16
ACC-RIM-3007-1.1,Accountancy,Business Management,Business Continuity Management,Develop business continuity strategies to manage risks in response to disruptive events,tsc,2024-12-16
ACC-SBM-4001-1.1,Accountancy,Business Management,Business Development,Develop and implement plans to enhance organisation's business performance and growth,tsc,2024-12-16
ACC-SBM-3001-1.1,Accountancy,Business Management,Business Development,Develop and implement plans to enhance organisation's business performance and growth,tsc,2024-12-16
ACC-SBM-2001-1.1,Accountancy,Business Management,Business Development,Develop and implement plans to enhance organisation's business performance and growth,tsc,2024-12-16
ACC-SBM-6001-1.1,Accountancy,Business Management,Business Development,Develop and implement plans to enhance organisation's business performance and growth,tsc,2024-12-16
ACC-SBM-5001-1.1,Accountancy,Business Management,Business Development,Develop and implement plans to enhance organisation's business performance and growth,tsc,2024-12-16
ACC-BTF-3001-1.1,Accountancy,Business Management,Business Innovation and Improvement,Transform businesses through innovation and embrace changes to drive improvements,tsc,2024-12-16
ACC-BTF-5001-1.1,Accountancy,Business Management,Business Innovation and Improvement,Transform businesses through innovation and embrace changes to drive improvements,tsc,2024-12-16
ACC-BTF-4001-1.1,Accountancy,Business Management,Business Innovation and Improvement,Transform businesses through innovation and embrace changes to drive improvements,tsc,2024-12-16
ACC-BIN-6105-1.1,Accountancy,Business Management,Business Negotiation,Conduct negotiations to establish win-win outcomes for the organisation,tsc,2024-12-16
ACC-BIN-4105-1.1,Accountancy,Business Management,Business Negotiation,Conduct negotiations to establish win-win outcomes for the organisation,tsc,2024-12-16
ACC-BIN-3105-1.1,Accountancy,Business Management,Business Negotiation,Conduct negotiations to establish win-win outcomes for the organisation,tsc,2024-12-16
ACC-BIN-5105-1.1,Accountancy,Business Management,Business Negotiation,Conduct negotiations to establish win-win outcomes for the organisation,tsc,2024-12-16
ACC-SBM-6002-1.1,Accountancy,Business Management,Business Planning,Design and formulate business plans to achieve business goals,tsc,2024-12-16
ACC-SBM-4002-1.1,Accountancy,Business Management,Business Planning,Design and formulate business plans to achieve business goals,tsc,2024-12-16
ACC-SBM-5002-1.1,Accountancy,Business Management,Business Planning,Design and formulate business plans to achieve business goals,tsc,2024-12-16
ACC-IAD-3002-1.1,Accountancy,Business Management,Business Process Analysis,"Analyse business processes for improvement, optimisation and efficiency",tsc,2024-12-16
ACC-IAD-6002-1.1,Accountancy,Business Management,Business Process Analysis,"Analyse business processes for improvement, optimisation and efficiency",tsc,2024-12-16
ACC-IAD-4002-1.1,Accountancy,Business Management,Business Process Analysis,"Analyse business processes for improvement, optimisation and efficiency",tsc,2024-12-16
ACC-IAD-5002-1.1,Accountancy,Business Management,Business Process Analysis,"Analyse business processes for improvement, optimisation and efficiency",tsc,2024-12-16
ACC-SBM-5003-1.1,Accountancy,Business Management,Business Process Management,Manage and optimise an organisation's business processes for efficiency and effectiveness,tsc,2024-12-16
ACC-SBM-6003-1.1,Accountancy,Business Management,Business Process Management,Manage and optimise an organisation's business processes for efficiency and effectiveness,tsc,2024-12-16
ACC-BTF-5002-1.1,Accountancy,Business Management,Change Management,Manage changes and developments within teams and organisation,tsc,2024-12-16
ACC-BTF-4002-1.1,Accountancy,Business Management,Change Management,Manage changes and developments within teams and organisation,tsc,2024-12-16
ACC-BTF-6002-1.1,Accountancy,Business Management,Change Management,Manage changes and developments within teams and organisation,tsc,2024-12-16
ACC-BTF-3002-1.1,Accountancy,Business Management,Change Management,Manage changes and developments within teams and organisation,tsc,2024-12-16
ACC-BRL-5001-1.1,Accountancy,Business Management,Conflict Management,"Build consensus, maintain the best interests of the organisation and utilise knowledge of conflict management techniques to diffuse tensions and achieve resolutions effectively",tsc,2024-12-16
ACC-BRL-4001-1.1,Accountancy,Business Management,Conflict Management,"Build consensus, maintain the best interests of the organisation and utilise knowledge of conflict management techniques to diffuse tensions and achieve resolutions effectively",tsc,2024-12-16
ACC-BRL-2001-1.1,Accountancy,Business Management,Conflict Management,"Build consensus, maintain the best interests of the organisation and utilise knowledge of conflict management techniques to diffuse tensions and achieve resolutions effectively",tsc,2024-12-16
ACC-BRL-3001-1.1,Accountancy,Business Management,Conflict Management,"Build consensus, maintain the best interests of the organisation and utilise knowledge of conflict management techniques to diffuse tensions and achieve resolutions effectively",tsc,2024-12-16
ACC-BRL-6001-1.1,Accountancy,Business Management,Conflict Management,"Build consensus, maintain the best interests of the organisation and utilise knowledge of conflict management techniques to diffuse tensions and achieve resolutions effectively",tsc,2024-12-16
ACC-BLR-3001-1.1,Accountancy,Business Management,Corporate and Business Law,Respond to the changes in business laws and regulations,tsc,2024-12-16
ACC-BLR-5001-1.1,Accountancy,Business Management,Corporate and Business Law,Respond to the changes in business laws and regulations,tsc,2024-12-16
ACC-BLR-2001-1.1,Accountancy,Business Management,Corporate and Business Law,Respond to the changes in business laws and regulations,tsc,2024-12-16
ACC-BLR-4001-1.1,Accountancy,Business Management,Corporate and Business Law,Respond to the changes in business laws and regulations,tsc,2024-12-16
ACC-BLR-6001-1.1,Accountancy,Business Management,Corporate and Business Law,Respond to the changes in business laws and regulations,tsc,2024-12-16
ACC-BTF-6003-1.1,Accountancy,Business Management,Disruption Management,Lead radical changes in industry or business strategies involving new products or services that create new markets and challenge the incumbent business models,tsc,2024-12-16
ACC-BTF-5003-1.1,Accountancy,Business Management,Disruption Management,Lead radical changes in industry or business strategies involving new products or services that create new markets and challenge the incumbent business models,tsc,2024-12-16
ACC-CFI-4006-1.1,Accountancy,Business Management,Finance Business Partnering,Generate finance-related insights to support the business in a strategic manner,tsc,2024-12-16
ACC-CFI-3006-1.1,Accountancy,Business Management,Finance Business Partnering,Generate finance-related insights to support the business in a strategic manner,tsc,2024-12-16
ACC-CFI-6006-1.1,Accountancy,Business Management,Finance Business Partnering,Generate finance-related insights to support the business in a strategic manner,tsc,2024-12-16
ACC-CFI-2006-1.1,Accountancy,Business Management,Finance Business Partnering,Generate finance-related insights to support the business in a strategic manner,tsc,2024-12-16
ACC-CFI-5006-1.1,Accountancy,Business Management,Finance Business Partnering,Generate finance-related insights to support the business in a strategic manner,tsc,2024-12-16
ACC-LGL-5001-1.1,Accountancy,Business Management,Financial Crime Laws and Regulations,Utilise laws and regulations governing white-collar crime in the process of forensic services,tsc,2024-12-16
ACC-LGL-3001-1.1,Accountancy,Business Management,Financial Crime Laws and Regulations,Utilise laws and regulations governing white-collar crime in the process of forensic services,tsc,2024-12-16
ACC-LGL-4001-1.1,Accountancy,Business Management,Financial Crime Laws and Regulations,Utilise laws and regulations governing white-collar crime in the process of forensic services,tsc,2024-12-16
ACC-IAD-5003-1.1,Accountancy,Business Management,Information Gathering and Analysis,Collect and analyse information and data to obtain business insights for business activities,tsc,2025-08-13
ACC-IAD-4003-1.1,Accountancy,Business Management,Information Gathering and Analysis,Collect and analyse information and data to obtain business insights for business activities,tsc,2024-12-16
ACC-IAD-3003-1.1,Accountancy,Business Management,Information Gathering and Analysis,Collect and analyse information and data to obtain business insights for business activities,tsc,2024-12-16
ACC-IAD-6003-1.1,Accountancy,Business Management,Information Gathering and Analysis,Collect and analyse information and data to obtain business insights for business activities,tsc,2024-12-16
ACC-LGL-4002-1.1,Accountancy,Business Management,Litigation Support,Provide evidence and testimonies to be used in litigation,tsc,2024-12-16
ACC-LGL-5002-1.1,Accountancy,Business Management,Litigation Support,Provide evidence and testimonies to be used in litigation,tsc,2024-12-16
ACC-LGL-3002-1.1,Accountancy,Business Management,Litigation Support,Provide evidence and testimonies to be used in litigation,tsc,2024-12-16
ACC-SBM-3004-1.1,Accountancy,Business Management,Macroeconomic Analysis,Evaluate impact of external factors on the organisation,tsc,2024-12-16
ACC-SBM-4004-1.1,Accountancy,Business Management,Macroeconomic Analysis,Evaluate impact of external factors on the organisation,tsc,2024-12-16
ACC-SBM-5004-1.1,Accountancy,Business Management,Macroeconomic Analysis,Evaluate impact of external factors on the organisation,tsc,2024-12-16
ACC-MAC-6006-1.1,Accountancy,Business Management,Management Decision Making,Make financial decisions based on management reports,tsc,2024-12-16
ACC-MAC-4006-1.1,Accountancy,Business Management,Management Decision Making,Make financial decisions based on management reports,tsc,2024-12-16
ACC-MAC-3006-1.1,Accountancy,Business Management,Management Decision Making,Make financial decisions based on management reports,tsc,2024-12-16
ACC-MAC-5006-1.1,Accountancy,Business Management,Management Decision Making,Make financial decisions based on management reports,tsc,2024-12-16
ACC-CRP-6008-1.1,Accountancy,Business Management,Non-Financial Reporting,Prepare sustainability and integrated reports of the organisation,tsc,2024-12-16
ACC-CRP-4008-1.1,Accountancy,Business Management,Non-Financial Reporting,Prepare sustainability and integrated reports of the organisation,tsc,2024-12-16
ACC-CRP-5008-1.1,Accountancy,Business Management,Non-Financial Reporting,Prepare sustainability and integrated reports of the organisation,tsc,2024-12-16
ACC-MAC-4007-1.1,Accountancy,Business Management,Performance Management,Measure and manage business performance,tsc,2024-12-16
ACC-MAC-2007-1.1,Accountancy,Business Management,Performance Management,Measure and manage business performance,tsc,2024-12-16
ACC-MAC-3007-1.1,Accountancy,Business Management,Performance Management,Measure and manage business performance,tsc,2024-12-16
ACC-MAC-5007-1.1,Accountancy,Business Management,Performance Management,Measure and manage business performance,tsc,2024-12-16
ACC-MAC-6007-1.1,Accountancy,Business Management,Performance Management,Measure and manage business performance,tsc,2024-12-16
ACC-AUD-5009-1.1,Accountancy,Business Management,Professional Scepticism and Judgment,Assess evidence to make informed decisions about the appropriate course of action,tsc,2024-12-16
ACC-AUD-4009-1.1,Accountancy,Business Management,Professional Scepticism and Judgment,Assess evidence to make informed decisions about the appropriate course of action,tsc,2024-12-16
ACC-AUD-3009-1.1,Accountancy,Business Management,Professional Scepticism and Judgment,Assess evidence to make informed decisions about the appropriate course of action,tsc,2024-12-16
ACC-PVE-6006-1.1,Accountancy,Business Management,Professional Standards,Advocate standards development to promote public confidence and build trust in society,tsc,2024-12-16
ACC-PVE-4006-1.1,Accountancy,Business Management,Professional Standards,Advocate standards development to promote public confidence and build trust in society,tsc,2024-12-16
ACC-PVE-5006-1.1,Accountancy,Business Management,Professional Standards,Advocate standards development to promote public confidence and build trust in society,tsc,2024-12-16
ACC-PVE-3006-1.1,Accountancy,Business Management,Professional Standards,Advocate standards development to promote public confidence and build trust in society,tsc,2024-12-16
ACC-PMM-3001-1.1,Accountancy,Business Management,Project Execution and Control,"Implement projects in accordance with project plan and deliverables, and monitoring and controlling processes performed to influence project outcomes",tsc,2024-12-16
ACC-PMM-4001-1.1,Accountancy,Business Management,Project Execution and Control,"Implement projects in accordance with project plan and deliverables, and monitoring and controlling processes performed to influence project outcomes",tsc,2024-12-16
ACC-PMM-2001-1.1,Accountancy,Business Management,Project Execution and Control,"Implement projects in accordance with project plan and deliverables, and monitoring and controlling processes performed to influence project outcomes",tsc,2024-12-16
ACC-PMM-5001-1.1,Accountancy,Business Management,Project Execution and Control,"Implement projects in accordance with project plan and deliverables, and monitoring and controlling processes performed to influence project outcomes",tsc,2024-12-16
ACC-PMM-6001-1.1,Accountancy,Business Management,Project Execution and Control,"Implement projects in accordance with project plan and deliverables, and monitoring and controlling processes performed to influence project outcomes",tsc,2024-12-16
ACC-PMM-3002-1.1,Accountancy,Business Management,Project Feasibility,Study project feasibility to meet project outcomes and objectives,tsc,2024-12-16
ACC-PMM-6002-1.1,Accountancy,Business Management,Project Feasibility,Study project feasibility to meet project outcomes and objectives,tsc,2024-12-16
ACC-PMM-5002-1.1,Accountancy,Business Management,Project Feasibility,Study project feasibility to meet project outcomes and objectives,tsc,2024-12-16
ACC-PMM-4002-1.1,Accountancy,Business Management,Project Feasibility,Study project feasibility to meet project outcomes and objectives,tsc,2024-12-16
ACC-BIN-5021-1.1,Accountancy,Business Management,Project Management,"Execute projects by managing stakeholder engagement, resources, budgets and resolving problems",tsc,2024-12-16
ACC-BIN-4021-1.1,Accountancy,Business Management,Project Management,"Execute projects by managing stakeholder engagement, resources, budgets and resolving problems",tsc,2024-12-16
ACC-BIN-6021-1.1,Accountancy,Business Management,Project Management,"Execute projects by managing stakeholder engagement, resources, budgets and resolving problems",tsc,2024-12-16
ACC-BIN-3021-1.1,Accountancy,Business Management,Project Management,"Execute projects by managing stakeholder engagement, resources, budgets and resolving problems",tsc,2024-12-16
ACC-BRL-6002-1.1,Accountancy,Business Management,Stakeholder Management,"Manage stakeholder expectations to ensure continuous levels of engagement by identifying and addressing needs, setting service standards and resolving issues in accordance with organisational procedures",tsc,2024-12-16
ACC-BRL-3002-1.1,Accountancy,Business Management,Stakeholder Management,"Manage stakeholder expectations to ensure continuous levels of engagement by identifying and addressing needs, setting service standards and resolving issues in accordance with organisational procedures",tsc,2024-12-16
ACC-BRL-5002-1.1,Accountancy,Business Management,Stakeholder Management,"Manage stakeholder expectations to ensure continuous levels of engagement by identifying and addressing needs, setting service standards and resolving issues in accordance with organisational procedures",tsc,2024-12-16
ACC-BRL-4002-1.1,Accountancy,Business Management,Stakeholder Management,"Manage stakeholder expectations to ensure continuous levels of engagement by identifying and addressing needs, setting service standards and resolving issues in accordance with organisational procedures",tsc,2024-12-16
ACC-ACE-3007-1.1,Accountancy,Business Management,Systems Thinking,"Understand complexity of cause-and-effect relationships of systems and processes across the organisation, as well as evaluate systems based on the value-creation and contribution to specific issues",tsc,2024-12-16
ACC-ACE-4007-1.1,Accountancy,Business Management,Systems Thinking,"Understand complexity of cause-and-effect relationships of systems and processes across the organisation, as well as evaluate systems based on the value-creation and contribution to specific issues",tsc,2024-12-16
ACC-ACE-5007-1.1,Accountancy,Business Management,Systems Thinking,"Understand complexity of cause-and-effect relationships of systems and processes across the organisation, as well as evaluate systems based on the value-creation and contribution to specific issues",tsc,2024-12-16
ACC-ICT-3001-1.1,Accountancy,Digital and Data Management,Accounting and Tax Systems,Implement accounting or tax software systems in the organisation,tsc,2024-12-16
ACC-ICT-5001-1.1,Accountancy,Digital and Data Management,Accounting and Tax Systems,Implement accounting or tax software systems in the organisation,tsc,2024-12-16
ACC-ICT-4001-1.1,Accountancy,Digital and Data Management,Accounting and Tax Systems,Implement accounting or tax software systems in the organisation,tsc,2024-12-16
ACC-ICT-2001-1.1,Accountancy,Digital and Data Management,Accounting and Tax Systems,Implement accounting or tax software systems in the organisation,tsc,2024-12-16
ACC-ICT-6001-1.1,Accountancy,Digital and Data Management,Accounting and Tax Systems,Implement accounting or tax software systems in the organisation,tsc,2024-12-16
ACC-ICT-3002-1.1,Accountancy,Digital and Data Management,Cyber Security,Develop awareness of cyber security threats,tsc,2024-12-16
ACC-ICT-5002-1.1,Accountancy,Digital and Data Management,Cyber Security,Develop awareness of cyber security threats,tsc,2024-12-16
ACC-ICT-4002-1.1,Accountancy,Digital and Data Management,Cyber Security,Develop awareness of cyber security threats,tsc,2024-12-16
ACC-ICT-4003-1.1,Accountancy,Digital and Data Management,Data Analytics,Apply data extraction and analytic methods to analyse and evaluate financial and non-financial information and provide business intelligence,tsc,2024-12-16
ACC-ICT-3003-1.1,Accountancy,Digital and Data Management,Data Analytics,Apply data extraction and analytic methods to analyse and evaluate financial and non-financial information and provide business intelligence,tsc,2024-12-16
ACC-ICT-5003-1.1,Accountancy,Digital and Data Management,Data Analytics,Apply data extraction and analytic methods to analyse and evaluate financial and non-financial information and provide business intelligence,tsc,2024-12-16
ACC-SNA-4008-1.1-1,Accountancy,Digital and Data Management,Data Governance,"Develop, implement and practice guidelines, laws, and regulations across the organisation for the handling of data at various stages in its lifecycle as well as the provision of advice on proper data handling and resolution of data breaches",tsc,2024-12-16
ACC-SNA-5008-1.1-1,Accountancy,Digital and Data Management,Data Governance,"Develop, implement and practice guidelines, laws, and regulations across the organisation for the handling of data at various stages in its lifecycle as well as the provision of advice on proper data handling and resolution of data breaches",tsc,2024-12-16
ACC-SNA-6008-1.1-1,Accountancy,Digital and Data Management,Data Governance,"Develop, implement and practice guidelines, laws, and regulations across the organisation for the handling of data at various stages in its lifecycle as well as the provision of advice on proper data handling and resolution of data breaches",tsc,2024-12-16
ACC-SNA-3008-1.1-1,Accountancy,Digital and Data Management,Data Governance,"Develop, implement and practice guidelines, laws, and regulations across the organisation for the handling of data at various stages in its lifecycle as well as the provision of advice on proper data handling and resolution of data breaches",tsc,2024-12-16
ACC-DAT-5020-1.1,Accountancy,Digital and Data Management,Data Storytelling and Visualisation,"Combine data insights, dynamic visual displays with illustrative and interactive graphics and narrative representative formats to present patterns, trends, meaning, messages and analytical insights from data or new concepts in a strategic manner",tsc,2024-12-16
ACC-DAT-3020-1.1,Accountancy,Digital and Data Management,Data Storytelling and Visualisation,"Combine data insights, dynamic visual displays with illustrative and interactive graphics and narrative representative formats to present patterns, trends, meaning, messages and analytical insights from data or new concepts in a strategic manner",tsc,2024-12-16
ACC-DAT-4020-1.1,Accountancy,Digital and Data Management,Data Storytelling and Visualisation,"Combine data insights, dynamic visual displays with illustrative and interactive graphics and narrative representative formats to present patterns, trends, meaning, messages and analytical insights from data or new concepts in a strategic manner",tsc,2024-12-16
ACC-DAT-4022-1.1,Accountancy,Digital and Data Management,Digital Forensics,Use forensic technologies in the delivery of forensic services,tsc,2024-12-16
ACC-DAT-3022-1.1,Accountancy,Digital and Data Management,Digital Forensics,Use forensic technologies in the delivery of forensic services,tsc,2024-12-16
ACC-DAT-5022-1.1,Accountancy,Digital and Data Management,Digital Forensics,Use forensic technologies in the delivery of forensic services,tsc,2024-12-16
ACC-ICT-4004-1.1,Accountancy,Digital and Data Management,Digital Technology Adoption and Innovation,Develop digital technology enhancement projects to support the organisational objectives,tsc,2024-12-16
ACC-ICT-5004-1.1,Accountancy,Digital and Data Management,Digital Technology Adoption and Innovation,Develop digital technology enhancement projects to support the organisational objectives,tsc,2024-12-16
ACC-ICT-3004-1.1,Accountancy,Digital and Data Management,Digital Technology Adoption and Innovation,Develop digital technology enhancement projects to support the organisational objectives,tsc,2024-12-16
ACC-ICT-6004-1.1,Accountancy,Digital and Data Management,Digital Technology Adoption and Innovation,Develop digital technology enhancement projects to support the organisational objectives,tsc,2024-12-16
ACC-ICT-4005-1.1,Accountancy,Digital and Data Management,Digital Technology Environment Scanning,Evaluate the digital technology environment and the impact of digital technology development,tsc,2024-12-16
ACC-ICT-3005-1.1,Accountancy,Digital and Data Management,Digital Technology Environment Scanning,Evaluate the digital technology environment and the impact of digital technology development,tsc,2024-12-16
ACC-ICT-5005-1.1,Accountancy,Digital and Data Management,Digital Technology Environment Scanning,Evaluate the digital technology environment and the impact of digital technology development,tsc,2024-12-16
ACC-LGL-3003-1.1,Accountancy,Digital and Data Management,Evidence Management,Employ forensic research methodologies to collect and manage data,tsc,2024-12-16
ACC-LGL-5003-1.1,Accountancy,Digital and Data Management,Evidence Management,Employ forensic research methodologies to collect and manage data,tsc,2024-12-16
ACC-LGL-4003-1.1,Accountancy,Digital and Data Management,Evidence Management,Employ forensic research methodologies to collect and manage data,tsc,2024-12-16
ACC-DAT-3023-1.1,Accountancy,Digital and Data Management,Forensic Data Analytics,Interpret and analyse data using statistical techniques to uncover trends and patterns in finance and accounting documentation which are indicative of fraudulent activities,tsc,2024-12-16
ACC-DAT-5023-1.1,Accountancy,Digital and Data Management,Forensic Data Analytics,Interpret and analyse data using statistical techniques to uncover trends and patterns in finance and accounting documentation which are indicative of fraudulent activities,tsc,2024-12-16
ACC-DAT-4023-1.1,Accountancy,Digital and Data Management,Forensic Data Analytics,Interpret and analyse data using statistical techniques to uncover trends and patterns in finance and accounting documentation which are indicative of fraudulent activities,tsc,2024-12-16
ACC-SUM-5004-1.1,Accountancy,Digital and Data Management,Infocomm Security and Data Privacy,"Develop awareness of various risks related to Infocomm Technology (IT), information security and data privacy",tsc,2025-08-13
ACC-SUM-4004-1.1,Accountancy,Digital and Data Management,Infocomm Security and Data Privacy,"Develop awareness of various risks related to Infocomm Technology (IT), information security and data privacy",tsc,2024-12-16
ACC-SUM-3004-1.1,Accountancy,Digital and Data Management,Infocomm Security and Data Privacy,"Develop awareness of various risks related to Infocomm Technology (IT), information security and data privacy",tsc,2024-12-16
ACC-DIT-4018-1.1,Accountancy,Digital and Data Management,Programming and Coding,"Develop technical capabilities to understand, design and write instructions to be processed by computers as software programmes to achieve desired outcomes",tsc,2024-12-16
ACC-DIT-2018-1.1-1,Accountancy,Digital and Data Management,Programming and Coding,"Develop technical capabilities to understand, design and write instructions to be processed by computers as software programmes to achieve desired outcomes",tsc,2024-12-16
ACC-DIT-3018-1.1,Accountancy,Digital and Data Management,Programming and Coding,"Develop technical capabilities to understand, design and write instructions to be processed by computers as software programmes to achieve desired outcomes",tsc,2024-12-16
ACC-CRP-6001-1.1,Accountancy,Financial and Transaction Management,Accounting Standards,Apply financial reporting framework prescribed by the relevant governing body to ensure all transactions meet regulatory requirements,tsc,2024-12-16
ACC-CRP-5001-1.1,Accountancy,Financial and Transaction Management,Accounting Standards,Apply financial reporting framework prescribed by the relevant governing body to ensure all transactions meet regulatory requirements,tsc,2024-12-16
ACC-CRP-4001-1.1,Accountancy,Financial and Transaction Management,Accounting Standards,Apply financial reporting framework prescribed by the relevant governing body to ensure all transactions meet regulatory requirements,tsc,2024-12-16
ACC-MAC-6002-1.1,Accountancy,Financial and Transaction Management,Capital Expenditure and Investment Evaluation,"Assess investments based on alignment with strategies, affordability, acceptable returns and prioritisation of options",tsc,2024-12-16
ACC-MAC-4002-1.1,Accountancy,Financial and Transaction Management,Capital Expenditure and Investment Evaluation,"Assess investments based on alignment with strategies, affordability, acceptable returns and prioritisation of options",tsc,2024-12-16
ACC-MAC-5002-1.1,Accountancy,Financial and Transaction Management,Capital Expenditure and Investment Evaluation,"Assess investments based on alignment with strategies, affordability, acceptable returns and prioritisation of options",tsc,2024-12-16
ACC-MAC-3002-1.1,Accountancy,Financial and Transaction Management,Capital Expenditure and Investment Evaluation,"Assess investments based on alignment with strategies, affordability, acceptable returns and prioritisation of options",tsc,2024-12-16
ACC-CFI-6001-1.1,Accountancy,Financial and Transaction Management,Capital Raising,Acquire or raise capital and funds to carry out organisational goals and objectives,tsc,2024-12-16
ACC-CFI-4001-1.1,Accountancy,Financial and Transaction Management,Capital Raising,Acquire or raise capital and funds to carry out organisational goals and objectives,tsc,2024-12-16
ACC-CFI-3001-1.1,Accountancy,Financial and Transaction Management,Capital Raising,Acquire or raise capital and funds to carry out organisational goals and objectives,tsc,2024-12-16
ACC-CFI-5001-1.1,Accountancy,Financial and Transaction Management,Capital Raising,Acquire or raise capital and funds to carry out organisational goals and objectives,tsc,2024-12-16
ACC-MAC-4011-1.1,Accountancy,Financial and Transaction Management,Cash Flow Management,Manage and maintain business units' cash flow by consolidating data and performing analysis on cash inflow and outflow,tsc,2024-12-16
ACC-MAC-3011-1.1,Accountancy,Financial and Transaction Management,Cash Flow Management,Manage and maintain business units' cash flow by consolidating data and performing analysis on cash inflow and outflow,tsc,2024-12-16
ACC-MAC-5011-1.1,Accountancy,Financial and Transaction Management,Cash Flow Management,Manage and maintain business units' cash flow by consolidating data and performing analysis on cash inflow and outflow,tsc,2024-12-16
